name,display,manufactor,needed,forbidden,highscore
Strange World,Strange World,Gottlieb 1978,,,StrangeWorld_78VPX.txt
Stranger Things,Stranger Things,Original 2017,"Stranger,Things,2017",,
Stranger Things 4,Stranger Things 4 - Limited PRO Edition,Original 2022,"Stranger,Things,2022",,
Stranger Things - Stranger Edition,Stranger Things: Stranger Edition,Original 2018,"Stranger,Things,2018",,
Strato-Flite,Strato-Flite,Williams 1974,"Strato,Flite,Williams,1974",,StratoFlite_74VPX.txt
Strawman,Strawman,Original 2016,,,
Street Fighter 2,Street Fighter 2,Gottlieb 1993,"street,fighter,gottlieb,1993",,
Streets of Rage,Streets of Rage,Original 2018,,,
Strike,Strike,Zaccaria 1985,"Strike,Zaccaria",,
Strike Master,Strike Master,Williams 1991,"Strike,Master,Williams,1991",,
Striker,Striker,Gottlieb 1982,,xtreme,
Striker Xtreme,Striker Xtreme,Stern 2000,,,
Strikes and Spares,Strikes and Spares,Bally 1978,"strikes,spares",,
Strike Zone,Strike Zone,Williams 1984,,,
Strip Joker Poker,Strip Joker Poker,Gottlieb 1978,,,Strip_JP_EM_1978.txt
Student Prince,Student Prince,Williams 1968,"Student,Prince,Williams,1968",,
Sultan,Sultan,Taito do Brasil 1978,"Sultan,Taito,do,Brasil,1978",,
Super Flite,Super Flite,Williams 1974,,,
Super Mario,Super Mario,Gottlieb 1992,,world,
Super Mario Mushroom World,Super Mario: Mushroom World,Gottlieb 1992,,,
Super Nova,Super Nova,Game Plan 1980,"Super,Nova,Game,Plan,1980",,
Super Orbit,Super Orbit,Gottlieb 1983,,,
Super Soccer,Super Soccer,Gottlieb 1975,,,SuperSoccer_75VPX.txt
Super Spin,Super Spin,Gottlieb 1977,"Super,Spin,Gottlieb,1977",,SuperSpin_77VPX.txt
Super Sport,Super Sport,Bally 1987,"Super,Sport,Bally,1987",,
Super Star,Super Star,Williams 1972,"Super,Star,Williams,1972",,superstar.txt
Super Straight,Super Straight,Sonic 1977,"Super,Straight,Sonic,1977",,SuperStraight.txt
Superman,Superman,Atari 1979,superman,serie,
Superman The Animated Series,Superman The Animated Series,Original 2020,"superman,serie",,
Supersonic,Supersonic,Bally 1979,,,
Sure Shot,Sure Shot,Gottlieb 1976,"Sure,Shot,Gottlieb",Taito,SureShot_76VPX.txt
Sure Shot,Sure Shot,Taito 1981,"Sure,Shot,Taito",Gottlieb,
Supreme,Supreme,Stern 2018,,,
Surf Champ,Surf Champ,Gottlieb 1976,"Surf,Champ,Gottlieb,1976",,
Surf n Safari,Surf n Safari,Gottlieb 1991,,,
Surf Side,Surf Side,Gottlieb 1967,"Surf,Side,Gottlieb,1967",,SurfSide_67VPX.txt
Surfer,Surfer,Gottlieb 1976,"Surfer,Gottlieb,1976",,Surfer_76VPX.txt
Swamp Thing,Swamp Thing,Original 2024,,,
Swashbuckler,Swashbuckler,Recel 1979,"Swashbuckler,Recel,1979",,
Sweet Hearts,Sweet Hearts,Gottlieb 1963,"Sweet,Hearts,Gottlieb,1963",,SweetHearts_63VPX.txt
Swing Along,Swing Along,Gottlieb 1963,"Swing,Along,Gottlieb,1963",,SwingAlong.txt
Swinger,Swinger,Williams 1972,"Swinger,Williams,1972",,
Swords of Fury,Swords of Fury,Williams 1988,,,
T.K.O.,T.K.O.,Gottlieb 1979,,,
Tag Team,Tag Team,Gottlieb 1985,,,
Tales from the Crypt,Tales from the Crypt,Data East 1993,"tales,crypt",,
Tales of the Arabian Nights,Tales of the Arabian Nights,Williams 1996,"tales,arabian,nights",totan,
Tales of the Arabian Nights,Tales of the Arabian Nights,Williams 1996,totan,"tales,arabian,nights",
Tam-Tam,Tam-Tam,Playmatic 1975,"Tam,Playmatic,1975",,TamTam_75VPX.txt
Target Alpha,Target Alpha,Gottlieb 1976,,,Target_Alpha_76VPX.txt
Target Pool,Target Pool,Gottlieb 1969,"Target,Pool,Gottlieb,1969",,TargetPool_69VPX.txt
Taxi,Taxi,Williams 1988,,,
Teacher's Pet,Teacher's Pet,Williams 1965,"Teacher,Pet,Williams,1965",,TeachersPet_65VPX.txt
Team America World Police,Team America - World Police,Original 2019,"Team,America,World,Police,Original,2019",,
Team One,Team One,Gottlieb 1977,"Team,One,Gottlieb,1977",,TeamOne_77VPX.txt
Tee'd Off,Tee'd Off,Gottlieb 1993,"tee,off",,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Data East 1991,tmnt,"bigus,stern",
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Data East 1991,"teenage,turtles","bigus,stern",
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Bigus MOD,Data East 1991,"tmnt,bigus",stern,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Bigus MOD,Data East 1991,"teenage,turtles,bigus",stern,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Stern 2020,"tmnt,stern",,
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Stern 2020,"teenage,turtles,stern",,
Ten Strike,Ten Strike,Benchmark Games 2003,,,
Tenacious D,Tenacious D,Original 2025,"Tenacious,2025",,
Terminator 1 TBA Edition,Terminator 1: TBA Edition,Original 2019,"Terminator,tba,edition",,
Terminator 2,JP's Terminator 2,Original 2020,"JP,Terminator,2,Original,2020",,
Terminator 2 Judgment Day,Terminator 2: Judgment Day,Williams 1991,"terminator,1991",,
Terminator 3,JP's Terminator 3,Stern 2003,"JP,Terminator,3,Stern,2003",,
Terminator 3 Rise of the Machines,Terminator 3: Rise of the Machines,Stern 2003,"terminator,rise,machines",,
Terminator Salvation,Terminator Salvation,Original 2018,,,
Terrific Lake,Terrific Lake,Sportmatic 1987,,,
Terrifier,Terrifier,Original 2024,,,
Texas Ranger,Texas Ranger,Gottlieb 1972,"Texas,Ranger,Gottlieb,1972",,
Theatre of Houdini,Theatre of Houdini,Original 2021,"houdini, theatre",,
Theatre of Magic,Theatre of Magic,Bally 1995,,,
Three Angels,Three Angels,Original 2018,,,
Thunderbirds,Thunderbirds,Homepin 2018,,,
Thundercats,Thundercats,Original 2023,,,
Thunder Man,Thunder Man,AppleTime 1987,,,
Ticket Tac Toe,Ticket Tac Toe,Williams 1996,,,
Tiger,Tiger,Gottlieb 1975,"Tiger,Gottlieb,1975",,Tiger_75VPX.txt
Tiger King,Tiger King,Original 2020,,,
Tiki Bob's Atomic Beach Party,Tiki Bob's Atomic Beach Party,Original 2021,"tiki,bob,beach,party",,
Time Fantasy,Time Fantasy,Williams 1983,,,
Time Line,Time Line,Gottlieb 1980,,,
Time Lord,Time Lord,Original 2022,,,
Time Machine,Time Machine,LTD 1984,"Time,Machine,ltd",,
Time Machine,Time Machine,Data East 1988,"time,machine,data,east",,
Time Tunnel,Time Tunnel,Bally 1971,,,
Time Warp,Time Warp,Williams 1979,"Time,Warp,Williams,1979",,
Tiro,Tiro's,Maresa 1969,,,
Titan,Titan,Taito 1982,"titan,taito",,
Title Fight,Title Fight,Gottlieb 1990,,,
TKO,TKO,Gottlieb 1979,,rocky,
Toledo,Toledo,Williams 1975,"Toledo,Williams,1975",,
Tom & Jerry,Tom & Jerry,Original 2018,"tom,jerry",,
Tomb Raider - A Survival is Born,Tomb Raider: A Survival is Born,Original 2019,,,
Tomb Raider (original 2025),Tomb Raider (original 2025),Original 2025,"Tomb,Raider,2025",,
Top Card,Top Card,Gottlieb 1974,,,TopCard_74VPX.txt
Top Dawg,Top Dawg,Williams 1988,"Top,Dawg,Williams,1988",,
Top Gun Mod,Top Gun Mod,Original 2019,,,
Top Hand,Top Hand,Gottlieb 1973,"Top,Hand,Gottlieb,1973",,
Top Score,Top Score,Gottlieb 1975,"Top,Score,Gottlieb,1975",,TopScore_75VPX.txt
Topaz,Topaz,Inder 1979,,,
Torch,Torch,Gottlieb 1980,,,
Tornado Rally,Tornado Rally,Original 2024,,,
Torpedo,Torpedo!!,Petaco 1976,"Torpedo,Petaco,1976",,Torpedo.txt
Torpedo Alley,Torpedo Alley,Data East 1988,,,
Total Nuclear Annihilation,Total Nuclear Annihilation,Spooky Pinball 2017,,TNA,
Total Nuclear Annihilation,Total Nuclear Annihilation,Spooky Pinball 2017,"TNA,Spooky",,
Totem,Totem,Gottlieb 1979,,,
Touchdown,Touchdown,Gottlieb 1984,"Touchdown,Gottlieb,1984",,
Touchdown,Touchdown,Williams 1967,"Touchdown,Williams,1967",,Touchdown_67VPX.txt
Trade Winds,Trade Winds,Williams 1962,"Trade,Winds,Williams,1962",,
Trailer,Trailer,Playmatic 1985,"Trailer,Playmatic,1985",,
Transformers Pro,Transformers Pro,Stern 2011,"transformers,stern",,
Transformers G1 Generation One,Transformers G1: Generation One,Original 2018,"transformers,generation,one",,
Transformers The Movie 1986,Transformers - The Movie 1986,Original 2019,"transformers,movie",,
Transporter the Rescue,Transporter the Rescue,Bally 1989,,,
Travel Time,Travel Time,Williams 1972,,,
Tri Zone,Tri Zone,Williams 1979,,Strike,
Trick Shooter,Trick Shooter,LTD 1980,,,
Trident,Trident,Stern 1979,"Trident,Stern,1979",,
Triple Action,Triple Action,Williams 1973,"Triple,Action,Williams,1973",,TripleAction_73VPX.txt
Triple Strike,Triple Strike,Williams 1975,,,
Triple X,Triple X,Williams 1972,,"chicago,strike,action",
TRON Classic,TRON Classic,Original 2018,,,
TRON Legacy,TRON Legacy,Stern 2011,,,
Tropic Fun,Tropic Fun,Williams 1973,,,
Truck Stop,Truck Stop,Bally 1988,,,
Turrican,Turrican,Original 2018,,,
Twilight Zone,Twilight Zone,Bally 1993,,,
Twinky,Twinky,Chicago Coin 1967,,,
Twisted Metal,Twisted Metal,Original 2024,"Twisted,Metal,Original",,
Twister,Twister,Sega 1996,,,
TX-Sector,TX-Sector,Gottlieb 1988,,,
U-FOES,U-FOES,Original 2019,,,
Underwater,Underwater,Recel 1976,,,
Universe,Universe,Gottlieb 1959,"Universe,Gottlieb,1959",,universe.txt
Universe,Universe,Zaccaria 1976,"Universe,Zaccaria,1976",,UniverseZaccaria_76VPX.txt
Unreal Tournament 99 - Capture the Flag,Unreal Tournament 99: Capture the Flag,Original 2021,"unreal,tournament",,UT99.txt
V.1,V.1,IDSA 1986,"V.1,IDSA,1986",,
V.1,V.1,IDSA 1986,"V1,IDSA,1986",,
Vampire,Vampire,Bally 1971,,,
Van Halen,Van Halen 2.0,Original 2025,,,
Vasco da Gama,Vasco da Gama,Original 2020,,,
Vector,Vector,Bally 1982,,,
Vegas,Vegas,Gottlieb 1990,"Vegas,gottlieb",,
Vegas,Vegas,Taito do Brasil 1978,"Vegas,taito",,
Verne's World,Verne's World,Spinball S.A.L. 1996,"Verne,World,1996",,
Victory,Victory,Gottlieb 1987,,,
Viking,Viking,Bally 1980,,,
Viper,Viper,Stern 1981,,night,
Viper Night Drivin,Viper Night Drivin,Sega 1998,,,
Volcano,Volcano,Gottlieb 1981,,,
Volkan,Volkan: Steel and Metal,Original 2023,,,
Volley,Volley,Gottlieb 1976,"volley,gottlieb",,Volley_76VPX.txt
Volley,Volley,Taito 1980,"volley,taito",,
Voltan Escapes Cosmic Doom,Voltan Escapes: Cosmic Doom,Bally 1978,,,
Vortex,Vortex,Taito 1983,,,
Vulcan,Vulcan,Gottlieb 1977,"Vulcan,Gottlieb,1977",,
Walking Dead,The Walking Dead,Stern 2014,,,
Walkyria,Walkyria,Joctronic 1986,,,
Warlok,Warlok,Williams 1982,,,
Watchmen,Watchmen,Original 2019,"Watchmen,Original,2019",,
Waterworld,Waterworld,Gottlieb 1995,"water,world",,
Web,The Web,Pro Pinball 1996,,,
Wheel,Wheel,Maresa 1974,"Wheel,Maresa,1974",,Wheel_74VPX.txt
Wheel of Fortune,Wheel of Fortune,Stern 2007,,,
Whirl-Wind,Whirl-Wind,Gottlieb 1958,"Whirl,Wind,Gottlieb,1958",,Whirl_Wind_1958.txt
Whirlwind,Whirlwind,Williams 1990,,,
White Water,White Water,Williams 1993,,,
Who Dunnit,Who Dunnit,Bally 1995,,1947,
Who Dunnit 1947,Who Dunnit 1947,Original 2021,,,
Who's Tommy - Pinball Wizard,The Who's Tommy - Pinball Wizard,Data East 1994,"tommy,who",,
Whoa Nellie!,Whoa Nellie!,Stern 2015,"whoa,nellie",mod,
Whoa Nellie! Big Juicy Melons,Whoa Nellie! Big Juicy Melons,WhizBang Pinball 2011,"mod,whoa,nellie",,
Wiggler,The Wiggler,Bally 1967,"Wiggler,Bally,1967",,TheWiggler_1967_v2.txt
Wild Card,Wild Card,Williams 1977,,,WildCard_77VPX.txt
Wild Fyre,Wild Fyre,Stern 1978,"Wild,Fyre,Stern,1978",,
Wild Life,Wild Life,Gottlieb 1972,,,WildLife_72VPX.txt
Wild Wild West,Wild Wild West,Gottlieb 1969,"Wild,West,1969",,WildWildWest_69.txt
Wild West,Wild West,Original 2024,"Wild,West,2024",,
Willy Wonka,Willy Wonka,Original 2024,,,
Willys Wonderland,Willys Wonderland,Original 2021,"willy,wonderland",,
Wimbledon,Wimbledon,Electromatic 1978,"Wimbledon,Electromatic,1978",,wimbledon.txt
Winner,Winner,Williams 1971,"winner,williams",,
Wipe Out,Wipe Out,Gottlieb 1993,,,
Witcher,Witcher,Original 2020,"Witcher,Original,2020",,
Wizard of Oz,Wizard of Oz,Original 2018,woz,,WoZ_HS.txt
Wizard of Oz,Wizard of Oz,Original 2018,,woz,WoZ_HS.txt
Wizard!,Wizard!,Bally 1975,,,
Wonderland,Wonderland,Williams 1955,,,
Wolf Man,Wolf Man,Peyper 1987,"Wolf,Man,Peyper,1987",,
World Challenge Soccer,World Challenge Soccer,Premier 1994,,,
World Cup,World Cup,Williams 1978,"World,Cup,Williams,1978",,
World Cup Soccer 94,World Cup Soccer 94,Bally 1994,"world,cup,soccer",,
World Joker Tour,JP's World Joker Tour,Original 2024,,,
World Poker Tour VPX,World Poker Tour VPX,Stern 2006,,,
World Series,World Series,Gottlieb 1972,"World,Series,Gottlieb,1972",,
WOW Monopoly,WOW Monopoly,Original 2015,"wow,monopoly,2015",,
Wrath Olympus,JP's Wrath of Olympus,Original 2022,,,
WWF Royal Rumble,WWF Royal Rumble,Data East 1994,"royal,rumble",,
X Files,The X Files,Sega 1997,"X,Files,1997",,
X-Men,X-Men,Stern 2012,,,
X O,X's & O's,Bally 1984,"X,O,Bally,1984","black,steel,king,granny,hunter",
Xenon,Xenon,Bally 1980,,,
Yamanobori - Mountain Climbing Game,Yamanobori Mountain Climbing Game,Komaya 1981,yamanobori,,
Yellow Submarine,Yellow Submarine,Original 2021,,,yellowsub.txt
You'll Shoot Your Eye Out!,You'll Shoot Your Eye Out!,Original 2024,,,
Young Frankenstein,Young Frankenstein,Original 2016,,,
Zarza,Zarza,Taito 1982,,,
Zeke's Peak,Zeke's Peak,Taito 1984,"Zeke,Peak,Taito,1984",,
Zephy,Zephy,LTD 1982,"Zephy,LTD,1982",,
Zip-A-Doo,Zip-A-Doo,Bally 1970,"Zip,Doo,Bally,1970",,ZipADoo_70VPX.txt
Zira,Zira,Playmatic 1980,,,
Zissou,Zissou,Original 2020,"Zissou,Original,2020",,Zissou.txt
Zodiac,Zodiac,Wiliams 1971,,,





















