name,display,manufactor,needed,forbidden,highscore
Chrono Trigger,Chrono Trigger,Original 2022,,,
Circus,Circus,Bally 1973,"Circus,Bally,1973",,Circus_73VPX.txt
Circus,Circus,Gottlieb 1980,"Circus,Gottlieb,1980",,
Circus,Circus,Zaccaria 1977,"Circus,Zaccaria,1977",,CircusZaccaria_77VPX.txt
Cirqus Voltaire,Cirqus Voltaire,Bally 1997,,,
City Slicker,City Slicker,Bally 1987,"City,Slicker,Bally,1987",,
Cityhunter,CityHunter,Original 2025,,,
Clash,The Clash,Original 2018,,,
Class of 1812,Class of 1812,Gottlieb 1991,,,
Cleopatra,Cleopatra,Gottlieb 1977,,,
Clever Smart,Clever & Smart,Original 2023,,,
Close Encounters of the Third Kind,Close Encounters of the Third Kind,Gottlieb 1978,"close,encounters",,
Cloudy With A Chance Of Meatballs,Cloudy With A Chance Of Meatballs,Original 2021,,,Cloudy With A Chance Of Meatballs.txt
Clown,Clown,Inder 1988,"clown,inder,1988",,
Clown,Clown,Playmatic 1971,"clown,playmatic,1971",,Clown-Playmatic.txt
Clue,Clue,Original 2018,,,
College Queens,College Queens,Gottlieb 1969,"College,Queens,Gottlieb,1969",,CollegeQueens_69VPX.txt
Columbia,Columbia,LTD do Brasil 1983,,,
Comet,Comet,Williams 1985,,Halley,
Commando Schwarzenegger,Commando Schwarzenegger,Original 2019,,,
Conan,Conan,Rowamet 1983,"Conan,Rowamet,1983",,
Concorde,Concorde,Emagar 1975,"Concorde,Emagar,1975",,Concorde_75VPX.txt
Congo,Congo,Williams 1995,,,
Conquest 200,Conquest 200,Playmatic 1976,"Conquest,200,Playmatic,1976",,Conquest200.txt
Contact,Contact,Williams 1978,,,
Contest,Contest,Gottlieb 1958,"Contest,Gottlieb,1958",,
Copa Libertadores,Copa Libertadores,Original 2018,,,
Corinthian Master Bagatelle,Corinthian Master Bagatelle,Unknown 1932,"Corinthian,Master,Bagatelle",,Corinthian.txt
Corsario,Corsario,Inder 1989,"corsario,inder,1989",,
Corvette,Corvette,Midway 1994,,,
Cosmic,Cosmic,Taito 1980,"cosmic,taito","voltan,gunfight,princess,venus",
Cosmic Gunfight,Cosmic Gunfight,Williams 1982,,,
Cosmic Princess,Cosmic Princess,Stern 1979,,,
Cosmic Venus,Cosmic Venus,Tilt Movie 1978,,,CosmicVenus_78VPX.txt
Count Down,Count Down,Gottlieb 1979,,,
Counterforce,Counterforce,Gottlieb 1980,,,
Cow Poke,Cow Poke,Gottlieb 1965,"Cow,Poke,Gottlieb,1965",,CowPoke_65VPX.txt
Cowboy Bebop,Cowboy Bebop,Original 2024,,,
Cowboy Eight Ball,Cowboy Eight Ball,LTD 1981,,,
Creature from the Black Lagoon,Creature from the Black Lagoon,Bally 1992,"creature,black,lagoon",,
Crescendo,Crescendo,Gottlieb 1970,"Crescendo,Gottlieb,1970",,Crescendo_70VPX.txt
Criterium 75,Criterium 75,Recel 1975,"Criterium,75,Recel",,
Criterium 77,Criterium 77,Taito do Brasil 1977,"Criterium,77,Taito,do,Brasil,1977",,
Cross Town,Cross Town,Gottlieb 1966,"Cross,Town,Gottlieb,1966",,CrossTown_1966_v2.txt
Crystal-Ball,Crystal-Ball,Talleres del Llobregat 1970,"Crystal,Ball,1970",,crystalball.txt
